Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
925000,95-10-24,USA,USA,71,183,2014,19,R,Deangelo,Anthony,D,ARI,39,5,,4,5,14,-13
575000,93-04-06,CAN,CAN,72,192,2012,71,L,Richard,Tanner,C,T.B,3,0,0,0,0,0,-2
620000,92-05-11,USA,USA,,192,2010,80,R,Rust,Bryan,RW,PIT,57,15,13,9,4,,4
2500000,87-11-15,USA,USA,74,210,,,R,Miller,Kevan,D,BOS,58,3,10,,6,13,1
3800000,89-11-24,CAN,CAN,,180,2009,130,L,Hoffman,Mike,LW/C,OTT,74,26,35,,11,61,17
792500,89-07-27,FRA,FRA,71,191,,,L,Auvitu,Yohann,D/LW,N.J,25,2,2,1,1,4,1
575000,89-02-20,CAN,CAN,71,174,2007,164,R,Didomenico,Chris,C/RW,OTT,3,0,,0,0,0,0
575000,93-11-05,CAN,CAN,73,200,2012,50,R,Sissons,Colton,C,NSH,58,8,2,2,0,10,11
742500,95-12-14,RUS,RUS,,180,2014,33,L,Barbashev,Ivan,C,STL,30,5,,4,3,12,5
5750000,89-07-18,CAN,CAN,74,210,2007,129,L,Benn,Jamie,LW,DAL,77,26,43,26,17,69,
800000,81-05-12,CAN,CAN,72,200,,,L,Kearns,Bracken,C,NYI,2,0,0,0,0,0,-1
675000,93-02-20,USA,USA,71,200,2011,129,L,Pietila,Blake,LW/C,N.J,10,0,1,1,0,1,-5
4050000,90-07-04,USA,USA,74,200,2008,17,L,Gardiner,Jake,D,TOR,82,9,34,14,20,43,
742500,93-10-14,RUS,RUS,,190,,,L,Soshnikov,Nikita,RW,TOR,56,5,4,,1,9,1
575000,94-05-22,CAN,CAN,74,203,,,L,McEneny,Evan,D,VAN,1,0,0,0,0,0,-1
2600000,88-04-12,USA,USA,,200,2008,177,R,Wingels,Tommy,C/RW/LW,OTT/S.J,73,7,,4,1,12,-11
800000,92-12-09,CAN,CAN,72,199,2011,23,L,Morrow,Joe,D,BOS,17,0,1,1,0,1,-4
832500,94-02-18,CAN,CAN,74,193,2012,10,L,Koekkoek,Slater,D,T.B,29,0,4,2,2,4,
925000,98-05-07,SWE,FIN,76,203,2016,4,R,Puljujarvi,Jesse,RW,EDM,28,1,7,7,0,8,5
4400000,87-12-23,FIN,FIN,74,212,2008,65,L,Lehtera,Jori,C,STL,64,7,15,7,8,,-6
2400000,93-03-26,USA,USA,76,212,2011,20,R,Murphy,Connor,D,ARI,77,2,15,7,8,17,-13
5000000,83-11-01,CAN,CAN,73,200,2003,263,L,Moulson,Matt,LW,BUF,81,14,,9,9,32,-4
2500000,91-01-03,CAN,CAN,70,180,2009,11,R,Ellis,Ryan,D,NSH,71,16,22,13,9,,17
600000,89-04-07,CAN,CAN,70,195,2007,132,L,Terry,Chris,LW/RW,MTL,14,2,2,1,1,4,-1
600000,90-07-14,CAN,CAN,73,197,,,R,Jooris,Josh,RW/C,ARI/NYR,54,4,,3,5,12,-2
1250000,80-05-09,CAN,CAN,71,205,,,L,Fiddler,Vernon,C/LW,N.J/NSH,59,2,2,1,1,4,-15
925000,95-07-04,CAN,CAN,74,205,2013,29,L,Dickinson,Jason,C,DAL,10,2,0,0,0,2,-3
1750000,82-07-20,CAN,CAN,73,198,2000,55,L,Vermette,Antoine,C/LW,ANA,72,9,,10,9,28,
575000,88-07-26,USA,USA,,208,2008,184,R,Redmond,Zach,D,MTL,16,0,5,1,4,5,6
2000000,85-08-12,CAN,CAN,72,195,,,L,Garbutt,Ryan,C/LW,ANA,27,2,1,0,1,3,
650000,92-04-18,USA,USA,,230,2010,60,R,Johns,Stephen,D,DAL,61,4,6,2,4,10,-10
3500000,89-05-08,CAN,CAN,75,220,2008,148,L,Martin,Matt,LW/RW,TOR,82,5,4,2,,9,0
2000000,87-01-08,USA,USA,73,201,2006,17,R,Lewis,Trevor,C/RW/LW,L.A,82,12,12,8,4,24,-6
1200000,85-05-21,USA,USA,71,200,2004,224,L,Hunwick,Matt,D,TOR,72,1,,9,9,19,8
3550000,79-09-26,CAN,CAN,,195,,,L,Kunitz,Chris,LW,PIT,71,9,20,11,9,,0
832500,94-05-30,CAN,CAN,73,190,2012,20,L,Laughton,Scott,C/LW,PHI,2,0,0,0,0,0,0
767500,95-07-05,CAN,CAN,73,185,2014,116,L,Heinen,Danton,C,BOS,8,0,0,0,0,0,-3
875000,93-07-01,CAN,CAN,,215,,44,R,Ritchie,Brett,RW,DAL,78,16,,4,4,24,
6000000,92-07-31,CAN,CAN,75,218,2010,4,R,Johansen,Ryan,C/RW,NSH,82,14,47,28,19,61,1
6750000,79-07-02,CAN,CAN,76,220,1997,1,L,Thornton,Joe,C,S.J,79,,43,18,25,50,7
792500,96-02-02,USA,USA,72,187,2014,58,L,Dvorak,Christian,C/LW,ARI,78,15,18,10,8,33,7
2700000,83-10-09,CAN,CAN,,195,2002,43,L,Daley,Trevor,D,PIT,56,5,14,6,8,,7
575000,92-01-13,USA,USA,76,204,2010,18,R,Watson,Austin,LW,NSH,77,5,12,9,3,17,14
4750000,86-09-07,CAN,CAN,73,204,,160,L,MacDonald,Andrew,D,PHI,73,2,16,12,4,,-5
575000,90-07-15,USA,USA,73,210,2010,168,L,Bitetto,Anthony,D,NSH,29,0,,3,4,7,-1
575000,86-03-12,USA,USA,71,191,2004,119,L,Porter,Kevin,C,PIT,2,0,0,0,0,0,-1
832500,95-04-26,CAN,CAN,,235,2013,21,L,Gauthier,Frederik,C,TOR,21,2,1,0,1,3,2
6000000,92-01-31,CAN,CAN,73,200,2010,2,R,Seguin,Tyler,C/RW,DAL,82,26,,27,19,72,-15
2825000,93-09-27,CAN,CAN,73,211,2012,2,L,Murray,Ryan,D,CBJ,60,2,9,5,4,11,3
3600000,90-01-30,ITA,CHE,74,209,2008,19,L,Sbisa,Luca,D,VAN,82,2,11,4,7,13,
600000,91-06-08,CAN,CAN,,193,,,L,Hanley,Joel,D,MTL,7,0,0,0,0,0,-3
600000,78-09-03,CZE,CZE,73,210,1996,105,R,Rozsival,Michal,D,CHI,22,1,2,2,0,3,-3
7000000,84-01-19,CAN,CAN,74,227,2002,61,R,Boychuk,Johnny,D,NYI,66,6,17,10,7,,11
874125,93-04-04,CAN,CAN,75,205,,,L,Gaudet,Tyler,C,ARI,4,0,1,1,0,1,0
1000000,89-06-23,CAN,CAN,,219,2009,186,L,Nolan,Jordan,C/LW/RW,L.A,46,,4,2,2,8,-3
925000,96-10-28,USA,USA,74,196,2015,2,R,Eichel,Jack,C,BUF,61,24,33,19,14,,-13
1100000,89-07-12,CAN,CAN,73,216,,139,L,Borowiecki,Mark,D,OTT,70,1,2,2,0,3,-3
925000,97-03-07,CAN,CAN,,185,2015,3,L,Strome,Dylan,C,ARI,7,0,1,1,0,,-5
600000,85-07-15,CAN,CAN,75,220,2004,279,R,Cracknell,Adam,RW/C,DAL,69,10,6,3,3,16,9
4000000,89-02-21,CAN,CAN,75,216,2007,141,L,Muzzin,Jake,D,L.A,82,9,19,9,10,28,
1800000,85-03-06,CAN,CAN,74,206,,265,L,Winnik,Daniel,LW/C,WSH,72,12,13,10,3,25,15
650000,93-10-05,CZE,CZE,,194,2012,49,R,Frk,Martin,RW,CAR,2,0,0,0,0,0,
4100000,87-06-06,SWE,SWE,75,197,2005,108,L,Hjalmarsson,Niklas,D,CHI,73,5,13,7,6,18,12
742500,94-01-23,USA,USA,75,219,2012,59,L,Nieves,Cristoval,C/LW,NYR,1,0,0,,0,0,-1
1500000,91-01-24,CAN,CAN,75,207,2009,13,R,Kassian,Zack,RW,EDM,79,7,17,8,9,24,
4250000,78-12-20,RUS,RUS,72,200,1998,162,L,Markov,Andrei,D,MTL,62,6,30,21,9,36,18
832500,95-04-05,CAN,CAN,,223,2013,9,L,Horvat,Bo,C,VAN,81,20,,22,10,52,-7
575000,88-09-24,USA,USA,73,198,2007,135,L,Carey,Paul,C,WSH,6,0,0,0,0,0,-2
600000,90-08-26,USA,USA,73,200,,,L,Schneider,Cole,LW/RW,BUF,4,0,,1,0,1,2
925000,92-12-10,USA,USA,78,225,2012,210,L,Megna,Jaycob,D,ANA,1,0,0,0,0,0,1
725000,96-12-14,CAN,CAN,75,204,2015,39,L,Greer,A.J.,LW,COL,5,0,1,0,1,1,-2
4000000,83-08-13,CZE,CZE,,185,2001,13,R,Hemsky,Ales,RW,DAL,15,4,,3,0,7,-1
650000,89-02-01,USA,USA,71,193,,,R,Harper,Shane,RW,FLA,14,2,1,1,0,3,-1
645000,93-09-23,FIN,FIN,75,198,2012,176,L,Lindbohm,Petteri,D,STL,7,0,0,0,0,0,-4
800000,92-04-20,CAN,CAN,77,236,2010,10,R,McIlrath,Dylan,D,FLA/NYR,6,1,0,0,0,1,
4500000,95-09-02,FIN,FIN,75,213,2013,2,L,Barkov,Aleksander,C,FLA,61,21,31,21,10,,13
4500000,86-03-19,CAN,CAN,,195,,,R,Bozak,Tyler,C,TOR,78,18,37,24,13,55,-1
2500000,84-02-20,USA,USA,73,206,,,R,Lovejoy,Ben,D,N.J,82,,6,4,2,7,-7
2250000,89-02-08,CAN,CAN,72,189,2007,4,L,Hickey,Thomas,D,NYI,76,4,16,5,11,20,
575000,90-03-19,CAN,CAN,73,210,2008,50,L,Gaunce,Cameron,D,PIT,12,1,3,3,0,4,1
2500000,83-05-13,USA,USA,75,236,2002,44,R,Greene,Matt,D,L.A,26,1,1,0,1,2,3
817500,97-04-15,USA,USA,74,214,2015,32,R,Fischer,Christian,RW,ARI,7,3,0,0,0,3,
575000,88-09-23,CHE,CHE,71,200,2007,73,R,Weber,Yannick,D,NSH,73,1,7,5,2,8,1
