Salary,Born,Cntry,Nat,Ht,Wt,DftYr,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-
13800000,88-04-29,CAN,CAN,74,201,2006,3,L,Toews,Jonathan,C,CHI,72,21,37,21,17,58,7
8000000,85-12-12,CAN,CAN,75,200,2004,4,L,Ladd,Andrew,LW,NYI,78,23,8,7,1,31,
1000000,92-02-03,USA,USA,,205,2010,38,L,Merrill,Jon,D,N.J,51,1,5,1,4,6,-9
925000,97-05-05,CAN,CAN,72,170,2015,4,R,Marner,Mitchell,C/RW,TOR,77,19,42,24,18,,0
600000,93-03-26,CAN,CAN,72,205,,150,R,Corrado,Frank,D,PIT/TOR,4,0,0,0,0,0,-1
832500,95-04-16,RUS,RUS,77,230,2013,16,L,Zadorov,Nikita,D,COL,56,0,10,7,,10,-20
2750000,84-12-13,CAN,CAN,,206,2003,37,R,Klein,Kevin,D,NYR,60,3,11,,5,14,
4250000,86-07-14,RUS,RUS,73,225,2006,44,L,Kulemin,Nikolay,LW/RW,NYI,72,12,11,7,4,23,3
3100000,94-02-12,USA,USA,73,210,2012,3,L,Galchenyuk,Alex,C/LW,MTL,61,17,27,16,11,44,-5
575000,87-11-29,CAN,CAN,73,207,,,L,Irwin,Matt,D,NSH,74,3,11,4,7,14,15
2250000,82-08-25,CAN,CAN,,203,2000,33,L,Schultz,Nick,D,PHI,28,0,4,3,1,4,1
575000,92-09-01,CZE,CZE,75,210,,,L,Nosek,Tomas,LW/C,DET,11,1,0,0,0,1,-1
600000,94-08-07,CAN,CAN,,205,2012,60,R,Severson,Damon,D,N.J,80,3,28,,15,31,-31
625000,84-09-30,USA,USA,74,219,2003,51,R,McDonald,Colin,RW/C,PHI,3,1,0,0,,1,1
4000000,88-06-07,CAN,CAN,72,203,2006,112,L,Beleskey,Matt,LW,BOS,49,3,5,,4,8,-10
2400000,86-02-18,CAN,CAN,73,202,2004,47,R,Comeau,Blake,LW/RW,COL,77,8,12,6,6,20,-19
867500,93-10-09,CAN,CAN,,200,2012,38,L,Di Giuseppe,Phillip,LW,CAR,36,1,6,3,3,7,-12
1300000,85-01-30,CAN,CAN,71,190,2004,126,R,Mitchell,Torrey,C/RW,MTL,78,8,9,4,,17,5
575000,92-02-05,CHE,CHE,71,192,2013,186,L,Vermin,Joel,RW,T.B,18,0,3,0,3,3,2
832500,95-03-28,CAN,CAN,,195,2013,13,L,Morrissey,Josh,D,WPG,82,6,,9,5,20,6
7000000,87-11-23,SWE,SWE,73,213,2006,4,L,Backstrom,Nicklas,C,WSH,82,23,63,32,31,86,17
700000,94-05-07,CAN,CAN,75,221,2012,95,R,Anderson,Josh,RW,CBJ,78,17,12,8,,29,12
850000,93-04-16,FIN,FIN,72,183,2011,45,L,Granlund,Markus,C,VAN,69,19,13,8,5,32,-19
925000,96-04-27,GBR,GBR,75,211,2014,12,L,Perlini,Brendan,LW,ARI,57,14,7,3,4,21,
722500,91-11-23,USA,USA,74,208,,,R,Hathaway,Garnet,RW,CGY,26,1,4,2,2,5,0
4250000,89-05-08,DNK,DNK,74,207,2007,13,L,Eller,Lars,C/LW/RW,WSH,81,12,13,6,7,,15
925000,95-04-17,RUS,RUS,74,193,2013,75,L,Buchnevich,Pavel,RW/LW,NYR,41,8,12,,6,20,6
1850000,81-06-17,USA,USA,,209,2000,131,L,Hendricks,Matt,LW/C,EDM,42,4,3,0,3,7,-3
5000000,87-09-22,CAN,CAN,73,204,2006,6,L,Brassard,Derick,C,OTT,81,14,,12,13,39,12
925000,95-10-27,DEU,DEU,73,216,2014,3,L,Draisaitl,Leon,C,EDM,82,29,48,31,17,77,7
615000,94-03-24,CAN,CAN,75,210,2012,161,R,Dotchin,Jake,D,T.B,35,0,11,3,8,11,10
4000000,93-07-12,SWE,SWE,73,193,2011,10,L,Brodin,Jonas,D,MIN,68,3,22,,14,25,5
715000,93-07-29,FRA,FRA,73,208,2011,48,L,Ouellet,Xavier,D,DET,66,3,9,5,4,12,2
1600000,85-09-08,CAN,CAN,74,195,,,R,Purcell,Teddy,LW/RW,L.A,12,0,2,1,1,2,
874125,93-09-07,CAN,CAN,75,210,2011,11,L,Siemens,Duncan,D,COL,3,0,0,0,0,0,-2
5000000,88-05-11,CAN,CAN,69,181,2006,71,L,Marchand,Brad,LW/C,BOS,80,39,46,23,,85,18
1000000,81-06-13,CZE,CZE,73,194,1999,212,R,Vrbata,Radim,RW,ARI,81,20,35,24,11,55,-18
1000000,93-01-08,SWE,SWE,73,189,2011,53,L,Karlsson,William,C,CBJ,81,6,19,13,6,25,10
600000,90-02-01,USA,USA,73,195,,,R,Megna,Jayson,C,VAN,58,4,4,,1,8,-4
2250000,91-08-10,USA,CAN,75,228,2009,104,L,Foligno,Marcus,LW,BUF,80,13,10,4,6,23,-1
950000,86-05-13,CAN,CAN,,176,2004,134,R,Versteeg,Kris,RW/LW,CGY,69,15,22,10,,37,-3
1200000,83-06-03,CAN,CAN,75,235,2001,50,R,Thorburn,Chris,RW/LW,WPG,64,3,1,1,0,4,-7
950000,88-07-26,USA,USA,73,183,,,R,Flynn,Brian,C/RW,MTL,51,6,4,3,1,,2
5000000,88-02-17,CZE,CZE,,194,2006,10,L,Frolik,Michael,RW/C,CGY,82,17,27,11,16,44,13
6500000,84-03-01,CAN,SWE,72,211,2002,24,L,Steen,Alex,LW/C,STL,76,16,35,20,15,51,
900000,93-06-28,CAN,CAN,76,220,2011,46,L,Edmundson,Joel,D,STL,69,3,12,5,7,15,11
12000000,85-08-14,CAN,CAN,,232,2003,49,R,Weber,Shea,D,MTL,78,17,,9,16,42,20
925000,96-10-29,FIN,FIN,76,211,2015,10,L,Rantanen,Mikko,RW,COL,75,20,18,10,8,38,-25
925000,97-01-29,SWE,SWE,74,197,2015,20,L,Eriksson Ek,Joel,C/RW/LW,MIN,15,3,4,2,2,7,1
874125,91-12-31,CAN,CAN,,180,,,L,Tanev,Brandon,LW/C/RW,WPG,51,2,2,0,2,,-6
5000000,84-03-20,FIN,FIN,72,196,2002,95,L,Filppula,Valtteri,C/LW,PHI/T.B,79,12,30,21,9,42,-1
1500000,86-01-17,SWE,SWE,75,209,2006,161,L,Stalberg,Viktor,LW/RW,CAR/OTT,75,11,5,5,0,16,
2725000,87-07-02,CZE,CZE,,197,2005,106,L,Sobotka,Vladimir,LW/C,STL,1,1,0,,0,1,0
670000,94-04-16,CAN,CAN,70,190,2012,104,L,Smith,Gemel,C,DAL,17,3,3,1,2,6,-1
875000,91-07-16,USA,USA,73,194,,,L,Schmidt,Nate,D,WSH,60,3,14,6,8,17,22
3250000,79-01-18,USA,USA,67,178,1998,82,R,Gionta,Brian,RW,BUF,82,15,20,14,6,35,-11
925000,96-01-22,CAN,CAN,72,173,2014,28,R,Ho-Sang,Joshua,RW/C,NYI,21,4,6,5,1,10,1
2000000,92-01-16,USA,USA,71,187,2010,59,L,Zucker,Jason,LW/RW,MIN,79,22,25,16,9,47,34
625000,86-03-30,CAN,CAN,71,205,,,L,Haley,Micheal,C,S.J,58,2,10,7,3,12,6
925000,95-12-03,FIN,FIN,,195,2014,14,R,Honka,Julius,D,DAL,16,1,4,4,,5,-4
3500000,87-11-18,CAN,CAN,71,218,2006,72,R,Clutterbuck,Cal,RW,NYI,66,5,15,10,5,20,2
925000,94-05-25,CAN,CAN,73,195,2012,175,R,Benning,Matthew,D,EDM,62,3,12,6,6,15,8
1650000,87-05-15,CAN,CAN,,214,,,L,Holden,Nick,D,NYR,80,11,23,9,14,34,13
640000,93-04-08,SWE,SWE,69,180,2014,112,R,Arvidsson,Viktor,LW/RW,NSH,80,31,30,14,,61,16
925000,95-05-20,SWE,SWE,75,214,2013,34,L,De la Rose,Jacob,LW,MTL,9,0,0,0,0,0,-3
1900000,92-11-22,RUS,RUS,71,180,2011,27,L,Namestnikov,Vladislav,C/LW,T.B,74,10,18,9,9,28,-4
925000,96-01-22,CAN,CAN,,195,2014,21,L,Fabbri,Robby,C/LW,STL,51,11,18,12,6,29,-16
4000000,91-03-28,CZE,CZE,72,188,2011,208,L,Palat,Ondrej,LW,T.B,75,17,35,17,18,52,8
6500000,85-03-21,USA,USA,70,187,2004,127,R,Callahan,Ryan,RW,T.B,18,2,,1,1,4,-4
700000,91-04-12,SWE,SWE,75,203,2009,10,L,Paajarvi,Magnus,LW,STL,32,8,5,3,2,13,9
925000,97-03-11,CAN,CAN,,175,2015,24,R,Konecny,Travis,C/LW,PHI,70,11,17,10,7,28,-2
925000,93-05-26,USA,USA,75,207,2012,66,L,Vesey,Jimmy,LW,NYR,80,16,11,7,4,27,-13
1025000,89-12-07,DNK,DNK,73,185,2008,149,R,Larsen,Philip,D,VAN,26,1,5,4,1,6,-8
925000,96-02-14,DNK,DNK,,172,2014,9,L,Ehlers,Nikolaj,LW,WPG,82,25,39,20,19,64,1
925000,94-03-26,USA,USA,75,211,2012,28,L,Skjei,Brady,D,NYR,80,5,34,13,21,39,11
1750000,85-10-16,CAN,CAN,75,215,,,R,Beagle,Jay,C/RW,WSH,81,13,17,13,4,30,20
6000000,91-11-14,CAN,CAN,73,201,2010,1,L,Hall,Taylor,LW/C,N.J,72,20,33,22,11,53,-9
2500000,93-10-06,RUS,RUS,,195,2012,1,L,Yakupov,Nail,RW/LW,STL,40,3,6,3,3,9,-3
667500,94-04-03,USA,USA,69,173,2012,169,R,Hinostroza,Vinnie,LW/C,CHI,49,6,8,4,4,14,-1
3700000,85-02-27,CAN,CAN,77,223,2003,8,L,Coburn,Braydon,D,T.B,80,5,7,4,3,12,-1
650000,92-05-29,USA,USA,73,210,,,R,Brown,Patrick,C,CAR,14,0,0,0,0,0,-6
925000,97-01-30,USA,USA,72,183,2015,21,R,White,Colin,C/D,OTT,2,0,0,0,0,0,0
832500,95-07-12,CAN,CAN,,202,2013,11,L,Morin,Samuel,D,PHI,1,0,0,0,0,0,0
667500,92-06-08,USA,USA,68,175,,,L,Sheary,Conor,LW,PIT,61,23,30,12,,53,24
832500,94-03-25,CAN,CAN,74,217,2012,26,L,Gaunce,Brendan,C/LW,VAN,57,0,5,2,3,5,-2
7000000,80-09-26,SWE,SWE,73,190,1999,2,L,Sedin,Daniel,LW,VAN,82,15,29,22,7,44,-16
925000,98-04-19,FIN,FIN,77,206,2016,2,R,Laine,Patrik,RW,WPG,73,36,28,13,15,,7
925000,97-04-06,CZE,CZE,75,210,2015,6,L,Zacha,Pavel,C,N.J,70,8,16,11,5,24,-17
3750000,93-07-11,USA,USA,70,182,2011,64,R,Trocheck,Vincent,C/RW,FLA,82,23,31,16,15,54,-13
6000000,83-03-20,CAN,CAN,72,202,2002,241,R,Wideman,Dennis,D,CGY,57,5,13,6,,18,
750000,93-03-31,CAN,CAN,71,185,2011,12,R,Murphy,Ryan,D,CAR,27,0,,1,1,2,-11
7000000,90-01-18,CAN,CAN,75,205,,4,R,Pietrangelo,Alex,D,STL,80,14,34,17,,48,3
640000,96-10-08,CAN,CAN,71,174,2015,115,R,Carrier,Alex,D,NSH,2,0,,,0,,1
3000000,88-08-05,CAN,CAN,73,205,,36,L,McGinn,Jamie,LW/RW,ARI,72,9,8,,4,,
925000,94-10-23,DNK,DNK,,182,2013,45,R,Sorensen,Nick,RW,ANA,5,0,1,0,1,1,-1
925000,97-05-26,CAN,CAN,72,182,2015,16,R,Barzal,Mathew,C,NYI,2,0,0,0,0,0,-2
3000000,90-10-13,SWE,SWE,74,196,2009,39,R,Silfverberg,Jakob,RW/LW,ANA,79,23,26,,11,,10
3750000,92-05-13,CAN,CAN,,206,2010,178,R,Stone,Mark,RW,OTT,71,22,,17,15,54,12
9500000,86-07-31,RUS,RUS,75,195,2004,2,L,Malkin,Evgeni,C/RW,PIT,62,33,39,26,13,72,18
1250000,92-02-25,SWE,SWE,73,189,2010,90,L,Nordstrom,Joakim,LW/C,CAR,82,7,5,2,3,12,-12
925000,97-06-08,CAN,CAN,71,170,2015,28,L,Beauvillier,Anthony,C/LW,NYI,66,9,15,8,7,,1
842500,93-09-23,SWE,SWE,71,196,2012,37,R,Aberg,Pontus,LW,NSH,15,1,1,0,1,2,-2
4000000,89-09-05,USA,USA,,208,2009,98,R,Smith,Craig,RW/LW/C,NSH,78,12,17,13,,29,7
2700000,84-04-27,USA,USA,74,215,2003,21,L,Stuart,Mark,D,WPG,42,2,,1,1,4,4
5000000,87-01-13,USA,USA,73,226,2005,3,L,Johnson,Jack,D,CBJ,82,5,18,6,12,23,23
575000,93-03-09,FIN,FIN,71,203,2011,52,L,Salomaki,Miikka,RW,NSH,5,0,0,,0,0,-1
600000,90-09-21,USA,USA,,196,,150,R,Jensen,Nick,D,DET,49,4,9,5,4,,-7
3700000,89-10-02,CAN,CAN,73,210,2008,9,L,Bailey,Josh,RW/LW/C,NYI,82,13,43,30,13,56,5
6500000,79-09-15,CAN,CAN,74,215,1997,2,L,Marleau,Patrick,LW/C,S.J,82,27,19,7,12,46,4
575000,83-10-09,USA,USA,67,175,,,R,Gionta,Stephen,RW/C,NYI,26,1,5,5,0,6,9
680000,93-04-16,USA,USA,77,210,2011,101,L,Labate,Joseph,C,VAN,13,0,0,,0,,-2
600000,92-09-26,USA,USA,73,201,2011,82,R,Shore,Nick,C,L.A,70,6,,6,5,17,-2
9000000,85-01-21,USA,USA,74,206,2003,7,L,Suter,Ryan,D,MIN,82,9,31,10,21,40,34
4250000,87-03-30,CAN,CAN,73,205,2005,35,L,Vlasic,Marc-Edouard,D,S.J,75,6,22,14,8,28,4
7000000,82-10-31,CZE,CZE,71,196,2001,71,L,Plekanec,Tomas,C,MTL,78,10,18,,9,,10
925000,93-05-12,CAN,CAN,,226,,86,R,Parayko,Colton,D,STL,81,4,31,17,14,,7
